pid,label,descricao,local,data,tipo,autor,tema,ref
foto1,"JK inaugura o Porto da Indústria e Comércio de Minérios S.A (ICOMI), em Santana, AP.","negativo, P&B",Amapá,06/01/1957,foto,ND,transportes,"BR RJANRIO EH.0.FOT, PRP.5127"
foto2,"JK inaugura a Usina Hidrelétrica de Cachoeira Dourada, GO.","negativo, P&B",Goiás,25/01/1959,foto,ND,energia,"BR RJANRIO EH.0.FOT, PRP.5163"
foto3,"JK inaugura a estrada Belo Horizonte-Brasília, MG.","negativo, P&B",Minas Gerais,02/02/1957,foto,ND,transportes,"BR RJANRIO EH.0.FOT, PRP.5249"
foto4,"JK visita as obras da Usina Hidrelétrica de Três Marias, MG.","negativo, P&B",Minas Gerais,18/09/1958,foto,ND,energia,"BR RJANRIO EH.0.FOT, PRP.5271"
foto5,"JK inaugura a usina hidrelétrica de Pandeiros, em Januária, MG.","negativo, P&B",Minas Gerais,26/10/1958,foto,ND,energia,"BR RJANRIO EH.0.FOT, PRP.5272"
foto6,"JK inaugura a rodovia Brasília-Santos, MG.","negativo, P&B",Minas Gerais,15/11/1958,foto,ND,transportes,"BR RJANRIO EH.0.FOT, PRP.5273"
foto7,"JK inaugura a Exposição Agropecuária de Uberaba, MG.","negativo, P&B",Minas Gerais,03/05/1959,foto,ND,alimentação,"BR RJANRIO EH.0.FOT, PRP.5284"
foto8,"JK inspeciona obras em Furnas, MG.","negativo, P&B",Minas Gerais,17/10/1959,foto,ND,energia,"BR RJANRIO EH.0.FOT, PRP.5287"
foto9,"JK visita as obras da Rodovia Belém-Brasília, PA.","negativo, P&B",Pará,10/10/1958,foto,ND,transportes,"BR RJANRIO EH.0.FOT, PRP.5315"
foto10,"JK visita a Rodovia Bernardo Sayão no trecho do Guamá, PA.","negativo, P&B",Pará,02/02/1959,foto,ND,transportes,"BR RJANRIO EH.0.FOT, PRP.5316"
foto11,"JK inaugura a refinaria de Caxias, RJ.","negativo, P&B",Rio de Janeiro,20/01/1961,foto,Cruz,energia,"BR RJANRIO EH.0.FOT, PRP.5425"
foto12,"JK inaugura a Estrada de Ferro São Luiz-Cerro Largo, RS.","negativo, P&B",Rio Grande do Sul,11/01/1957,foto,Renato,transportes,"BR RJANRIO EH.0.FOT, PRP.5441"
foto13,"JK inaugura as novas instalações da fábrica de caminhões Mercedes-Benz em São Bernardo do Campo, SP.","negativo, P&B",São Paulo,28/09/1956,foto,ND,indústria,"BR RJANRIO EH.0.FOT, PRP.5466"
foto14,"JK inaugura melhoramentos do Parque Industrial Militar, SP.","negativo, P&B",São Paulo,02/12/1958,foto,ND,indústria,"BR RJANRIO EH.0.FOT, PRP.5491"
foto15,"JK inaugura oficinas da Fábrica Nacional de Vagões e visita indústrias automobilísticas, Cruzeiro, SP.","negativo, P&B",São Paulo,24/02/1959,foto,ND,indústria,"BR RJANRIO EH.0.FOT, PRP.5495"