pid,label,descricao,local,data,tipo,autor,tema,ref,order,layout,collection,thumbnail,full,manifest
foto1,"JK inaugura o Porto da Indústria e Comércio de Minérios S.A (ICOMI), em Santana, AP.","negativo, P&B",Amapá,06/01/1957,foto,ND,transportes,"BR RJANRIO EH.0.FOT, PRP.5127",00,qatar_item,JK,"/img/derivatives/iiif/images/foto1/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto1/full/1140,/0/default.jpg",/img/derivatives/iiif/foto1/manifest.json
foto2,"JK inaugura a Usina Hidrelétrica de Cachoeira Dourada, GO.","negativo, P&B",Goiás,25/01/1959,foto,ND,energia,"BR RJANRIO EH.0.FOT, PRP.5163",01,qatar_item,JK,"/img/derivatives/iiif/images/foto2/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto2/full/1140,/0/default.jpg",/img/derivatives/iiif/foto2/manifest.json
foto3,"JK inaugura a estrada Belo Horizonte-Brasília, MG.","negativo, P&B",Minas Gerais,02/02/1957,foto,ND,transportes,"BR RJANRIO EH.0.FOT, PRP.5249",02,qatar_item,JK,"/img/derivatives/iiif/images/foto3/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto3/full/1140,/0/default.jpg",/img/derivatives/iiif/foto3/manifest.json
foto4,"JK visita as obras da Usina Hidrelétrica de Três Marias, MG.","negativo, P&B",Minas Gerais,18/09/1958,foto,ND,energia,"BR RJANRIO EH.0.FOT, PRP.5271",03,qatar_item,JK,"/img/derivatives/iiif/images/foto4/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto4/full/1140,/0/default.jpg",/img/derivatives/iiif/foto4/manifest.json
foto5,"JK inaugura a usina hidrelétrica de Pandeiros, em Januária, MG.","negativo, P&B",Minas Gerais,26/10/1958,foto,ND,energia,"BR RJANRIO EH.0.FOT, PRP.5272",04,qatar_item,JK,"/img/derivatives/iiif/images/foto5/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto5/full/1140,/0/default.jpg",/img/derivatives/iiif/foto5/manifest.json
foto6,"JK inaugura a rodovia Brasília-Santos, MG.","negativo, P&B",Minas Gerais,15/11/1958,foto,ND,transportes,"BR RJANRIO EH.0.FOT, PRP.5273",05,qatar_item,JK,"/img/derivatives/iiif/images/foto6/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto6/full/1140,/0/default.jpg",/img/derivatives/iiif/foto6/manifest.json
foto7,"JK inaugura a Exposição Agropecuária de Uberaba, MG.","negativo, P&B",Minas Gerais,03/05/1959,foto,ND,alimentação,"BR RJANRIO EH.0.FOT, PRP.5284",06,qatar_item,JK,"/img/derivatives/iiif/images/foto7/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto7/full/1140,/0/default.jpg",/img/derivatives/iiif/foto7/manifest.json
foto8,"JK inspeciona obras em Furnas, MG.","negativo, P&B",Minas Gerais,17/10/1959,foto,ND,energia,"BR RJANRIO EH.0.FOT, PRP.5287",07,qatar_item,JK,"/img/derivatives/iiif/images/foto8/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto8/full/1140,/0/default.jpg",/img/derivatives/iiif/foto8/manifest.json
foto9,"JK visita as obras da Rodovia Belém-Brasília, PA.","negativo, P&B",Pará,10/10/1958,foto,ND,transportes,"BR RJANRIO EH.0.FOT, PRP.5315",08,qatar_item,JK,"/img/derivatives/iiif/images/foto9/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto9/full/1140,/0/default.jpg",/img/derivatives/iiif/foto9/manifest.json
foto10,"JK visita a Rodovia Bernardo Sayão no trecho do Guamá, PA.","negativo, P&B",Pará,02/02/1959,foto,ND,transportes,"BR RJANRIO EH.0.FOT, PRP.5316",09,qatar_item,JK,"/img/derivatives/iiif/images/foto10/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto10/full/1140,/0/default.jpg",/img/derivatives/iiif/foto10/manifest.json
foto11,"JK inaugura a refinaria de Caxias, RJ.","negativo, P&B",Rio de Janeiro,20/01/1961,foto,Cruz,energia,"BR RJANRIO EH.0.FOT, PRP.5425",10,qatar_item,JK,"/img/derivatives/iiif/images/foto11/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto11/full/1140,/0/default.jpg",/img/derivatives/iiif/foto11/manifest.json
foto12,"JK inaugura a Estrada de Ferro São Luiz-Cerro Largo, RS.","negativo, P&B",Rio Grande do Sul,11/01/1957,foto,Renato,transportes,"BR RJANRIO EH.0.FOT, PRP.5441",11,qatar_item,JK,"/img/derivatives/iiif/images/foto12/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto12/full/1140,/0/default.jpg",/img/derivatives/iiif/foto12/manifest.json
foto13,"JK inaugura as novas instalações da fábrica de caminhões Mercedes-Benz em São Bernardo do Campo, SP.","negativo, P&B",São Paulo,28/09/1956,foto,ND,indústria,"BR RJANRIO EH.0.FOT, PRP.5466",12,qatar_item,JK,"/img/derivatives/iiif/images/foto13/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto13/full/1140,/0/default.jpg",/img/derivatives/iiif/foto13/manifest.json
foto14,"JK inaugura melhoramentos do Parque Industrial Militar, SP.","negativo, P&B",São Paulo,02/12/1958,foto,ND,indústria,"BR RJANRIO EH.0.FOT, PRP.5491",13,qatar_item,JK,"/img/derivatives/iiif/images/foto14/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto14/full/1140,/0/default.jpg",/img/derivatives/iiif/foto14/manifest.json
foto15,"JK inaugura oficinas da Fábrica Nacional de Vagões e visita indústrias automobilísticas, Cruzeiro, SP.","negativo, P&B",São Paulo,24/02/1959,foto,ND,indústria,"BR RJANRIO EH.0.FOT, PRP.5495",14,qatar_item,JK,"/img/derivatives/iiif/images/foto15/full/250,/0/default.jpg","/img/derivatives/iiif/images/foto15/full/1140,/0/default.jpg",/img/derivatives/iiif/foto15/manifest.json
